,lat,lon
0,-28.24,-48.67
1,-23.58,149.07
2,-33.59,26.89
3,-54.81,-68.31
4,15.34,74.49
5,8.01,-81.32
6,65.58,-170.99
7,59.7,150.17
8,-33.86,121.89
9,-34.42,19.24
10,77.48,-69.36
11,-33.64,115.35
12,62.16,117.65
13,-3.71,-38.6
14,-23.12,-134.97
15,-38.31,-60.23
16,-46.28,169.85
17,55.74,-97.86
18,37.14,-8.45
19,14.69,-16.54
20,-53.16,-70.91
21,14.4,46.47
22,-33.93,18.42
23,-6.64,-51.99
24,37.17,-99.65
25,39.31,-74.98
26,4.48,118.61
27,10.47,123.98
28,-9.8,-139.03
29,28.68,-17.76
30,-30.17,-50.22
31,6.8,-58.16
32,60.14,-45.24
33,-10.07,-78.15
34,-0.74,-90.35
35,25.29,60.65
36,67.55,63.78
37,-13.85,136.42
38,37.4,136.9
39,-26.98,-56.83
40,71.97,114.09
41,-42.88,147.33
42,-42.78,147.06
43,68.75,161.3
44,22.08,-159.32
45,-13.71,-76.2
46,6.35,116.43
47,-34.0,24.73
48,14.68,-86.92
49,73.51,80.55
50,19.71,-155.08
51,43.31,129.76
52,-34.53,20.04
53,-46.19,168.86
54,68.06,166.44
55,-20.31,118.58
56,-33.21,138.6
57,52.15,93.92
58,22.57,59.53
59,51.27,27.23
60,26.12,127.67
61,48.95,4.24
62,14.29,120.72
63,65.61,-37.64
64,13.32,12.61
65,11.42,-9.17
66,-0.6,73.08
67,-46.43,-67.52
68,55.1,-105.3
69,50.6,97.53
70,-4.94,122.53
71,-20.07,146.27
72,6.47,12.63
73,-1.84,34.67
74,20.89,-156.47
75,17.3,101.77
76,53.05,158.65
77,35.73,140.83
78,-19.25,17.72
79,62.45,-114.38
80,3.65,18.64
81,51.45,-2.43
82,61.99,-49.67
83,11.67,92.75
84,22.89,-109.91
85,50.68,156.12
86,-31.54,-68.53
87,47.66,-52.73
88,7.32,10.08
89,41.42,-6.55
90,61.28,108.01
91,-2.57,150.8
92,13.78,77.8
93,-9.87,-56.08
94,39.96,68.4
95,43.41,-124.22
96,19.55,-71.08
97,63.19,64.42
98,27.66,111.45
99,-25.24,130.99
100,-28.95,153.24
101,59.57,7.99
102,-15.19,12.15
103,36.1,102.26
104,-21.21,-159.78
105,58.37,58.33
106,64.42,-173.23
107,62.23,-6.59
108,30.3,-99.24
109,30.04,-94.42
110,10.3,22.78
111,46.45,135.83
112,50.23,-63.6
113,56.01,8.13
114,57.31,88.17
115,-20.34,57.76
116,-30.39,-56.45
117,59.7,30.79
118,36.31,139.8
119,-16.52,-151.75
120,69.3,139.9
121,-8.49,140.4
122,39.95,-94.76
123,-20.67,-40.5
124,51.29,85.68
125,-30.97,22.13
126,3.07,172.79
127,47.57,-59.14
128,8.0,124.29
129,60.79,-161.76
130,39.21,-2.16
131,-42.48,-73.76
132,-34.72,135.86
133,18.74,7.39
134,4.71,6.79
135,3.98,13.18
136,71.98,102.47
137,50.14,45.21
138,49.2,-113.32
139,78.22,15.63
140,48.03,28.7
141,36.2,37.17
142,72.79,-56.15
143,21.64,69.61
144,4.94,-52.33
145,8.02,-62.41
146,14.04,-83.39
147,38.52,-28.7
148,-0.28,20.88
149,-2.95,25.92
150,13.79,-15.05
151,70.86,29.09
152,33.83,-87.28
153,71.64,128.87
154,-3.89,-45.17
155,-23.13,150.74
156,-17.27,145.48
157,-8.35,113.61
158,55.96,92.38
159,53.54,39.45
160,69.7,170.27
161,22.67,106.25
162,39.51,54.36
163,40.33,-91.2
164,-4.1,-38.5
165,55.82,37.87
166,7.71,81.69
167,63.05,179.32
168,15.86,-97.07
169,-37.83,140.78
170,62.67,131.17
171,49.72,-86.95
172,-11.1,-77.61
173,34.93,43.49
174,-6.09,-35.21
175,36.85,-75.98
176,39.42,22.43
177,-26.65,15.16
178,-33.59,22.2
179,5.35,48.53
180,69.22,-51.1
181,1.49,124.85
182,20.87,-156.68
183,6.12,81.12
184,2.82,-60.67
185,-23.84,151.26
186,20.93,-17.03
187,59.1,26.19
188,14.2,24.66
189,21.05,-89.07
190,-3.9,-79.27
191,71.03,27.85
192,-33.02,27.91
193,42.08,-72.03
194,34.69,-82.84
195,-26.79,-60.44
196,-19.55,169.27
197,-5.56,150.15
198,33.72,135.99
199,50.67,13.08
200,14.51,-92.19
201,-20.73,139.49
202,66.32,-179.17
203,33.08,107.03
204,62.2,5.58
205,-5.38,39.7
206,-29.67,22.74
207,4.14,96.13
208,26.54,-78.7
209,34.38,67.02
210,55.07,57.55
211,37.47,-105.87
212,-33.69,-53.46
213,62.91,6.91
214,42.65,-73.75
215,51.0,81.46
216,57.96,102.73
217,35.63,111.36
218,26.33,43.97
219,25.21,64.64
220,-22.28,166.46
221,52.8,89.89
222,11.14,123.72
223,-19.06,-169.92
224,70.47,-68.59
225,23.13,-101.11
226,5.28,115.24
227,37.73,-25.67
228,23.99,-104.67
229,-20.63,-46.0
230,61.48,129.14
231,-41.05,145.91
232,54.43,31.9
233,20.52,-13.05
234,33.19,-82.53
235,-22.09,-70.2
236,18.56,-74.26
237,34.37,73.47
238,55.34,-131.65
239,-32.03,-52.1
240,41.28,20.71
241,11.24,-74.21
242,-45.58,-72.07
243,51.89,-8.4
244,60.91,-46.05
245,69.44,-133.03
246,69.38,178.42
247,12.18,125.51
248,37.61,-122.49
249,3.36,-59.84
250,11.06,-0.24
251,-9.01,-35.22
252,-22.97,-42.02
253,10.07,34.53
254,24.09,32.9
255,44.16,39.25
256,64.84,-147.72
257,52.74,15.23
258,50.56,-96.99
259,18.62,-100.35
260,-25.41,-70.49
261,-16.7,-151.02
262,-34.48,-54.34
263,56.76,48.47
264,-2.02,147.27
265,33.41,-111.91
266,-15.89,-52.26
267,42.94,126.05
268,-2.54,115.51
269,55.46,50.14
270,33.13,-107.25
271,44.33,-76.16
272,-14.99,27.06
273,65.95,111.51
274,40.6,-124.16
275,39.62,-77.74
276,16.08,97.57
277,67.46,153.71
278,54.42,45.33
279,-24.52,-48.11
280,10.73,125.02
281,2.67,72.89
282,-2.54,112.95
283,53.17,63.58
284,68.54,146.19
285,-4.12,104.17
286,45.36,-73.48
287,-18.24,-43.6
288,-14.79,-39.05
289,45.39,4.29
290,61.09,72.61
291,-42.72,170.96
292,60.75,-137.51
293,-22.95,14.51
294,39.15,-123.21
295,64.29,41.92
296,-10.62,150.67
297,43.65,111.97
298,-6.22,-36.02
299,37.51,22.37
300,-23.7,133.88
301,15.17,44.32
302,-16.48,-151.75
303,48.64,13.53
304,15.44,119.9
305,17.01,54.1
306,32.93,12.08
307,-8.26,-49.26
308,-0.72,8.78
309,20.03,-96.65
310,21.93,86.73
311,-29.95,-71.34
312,41.19,61.4
313,42.97,140.51
314,-12.12,-73.0
315,-5.32,119.37
316,45.45,41.98
317,26.0,92.85
318,-5.36,104.98
319,28.66,-17.92
320,64.17,-51.74
321,-9.11,124.89
322,40.24,-100.42
323,34.64,-120.46
324,30.82,76.34
325,53.6,91.39
326,54.72,-113.29
327,33.93,134.5
328,60.4,57.08
329,40.45,-74.39
330,63.91,38.09
331,45.29,26.68
332,12.51,39.52
333,51.59,-3.0
334,43.21,-8.69
335,37.51,34.05
336,-45.87,-67.48
337,18.44,1.41
338,43.27,-7.54
339,18.39,42.45
340,29.96,122.3
341,-5.67,132.75
342,43.97,-111.68
343,65.28,-126.83
344,-23.43,-45.08
345,68.05,39.51
346,-38.37,178.3
347,53.59,142.95
348,35.6,103.21
349,55.67,84.39
350,40.55,-105.07
351,40.8,-124.16
352,37.77,-25.7
353,63.64,54.86
354,15.0,-83.23
355,64.86,-147.8
356,54.77,-101.88
357,52.47,1.45
358,-15.77,128.74
359,40.91,69.8
360,45.52,125.08
361,48.6,133.81
362,50.28,113.29
363,50.69,-121.94
364,64.25,-15.21
365,51.5,156.52
366,53.27,140.15
367,29.04,114.56
368,62.58,6.12
369,-5.2,-35.46
370,59.36,143.24
371,42.73,-73.69
372,-46.13,167.69
373,49.63,-1.64
374,-4.26,-55.99
375,64.9,45.76
376,-0.86,131.25
377,63.84,-22.43
378,27.93,96.16
379,-32.27,150.89
380,46.39,123.41
381,41.14,-73.36
382,60.06,71.48
383,21.43,39.83
384,44.87,17.66
385,-6.97,-34.84
386,36.73,-3.69
387,-30.72,25.1
388,8.96,38.73
389,68.82,-51.19
390,59.64,-151.54
391,-3.41,-39.03
392,48.53,35.87
393,-0.87,134.08
394,-43.3,-65.11
395,7.38,8.57
396,57.69,71.17
397,40.74,-74.17
398,45.6,-0.6
399,63.44,-20.27
400,38.73,-27.07
401,61.99,5.14
402,50.37,137.51
403,60.73,77.6
404,-8.42,20.74
405,5.28,115.24
406,45.63,-73.98
407,1.51,21.07
408,16.17,-88.94
409,-21.61,166.22
410,58.45,92.17
411,49.98,92.07
412,-24.14,19.11
413,4.87,-2.24
414,45.16,10.79
415,-8.93,125.41
416,22.68,-3.98
417,39.45,22.34
418,2.18,-73.79
419,-4.2,152.17
420,21.39,-157.74
421,38.23,44.7
422,52.08,59.73
423,53.41,22.8
424,9.52,-13.7
425,5.43,7.07
426,32.43,105.86
427,43.66,-70.25
428,-4.85,38.37
429,-20.74,116.85
430,50.48,30.9
431,-7.47,-34.81
432,62.53,155.8
433,69.49,88.39
434,47.09,20.34
435,51.48,140.77
436,70.62,147.9
437,51.52,59.94
438,59.06,80.87
439,55.79,84.89
440,40.34,-76.42
441,-16.11,167.42
442,-43.03,147.26
443,68.22,-135.01
444,-2.67,141.3
445,-17.65,-71.34
446,-24.32,-47.0
447,-7.95,110.28
448,54.17,25.0
449,60.87,60.43
450,24.8,125.28
451,44.1,-70.21
452,20.71,-105.21
453,-7.8,-35.59
454,61.94,76.66
455,6.88,73.1
456,60.47,166.1
457,50.1,-91.92
458,54.83,99.13
459,31.67,75.63
460,-2.92,-39.92
461,47.8,67.71
462,-13.28,-50.16
463,-4.85,21.56
464,37.23,55.37
465,46.2,-59.96
466,51.71,143.23
467,47.85,-83.4
468,-12.74,-60.15
469,52.02,80.36
470,60.4,-1.35
471,16.33,-89.42
472,7.53,-12.5
473,0.12,117.47
474,-12.5,131.05
475,10.62,104.18
476,-18.77,46.05
477,-15.83,-67.57
478,60.34,30.5
479,14.9,-24.5
480,3.38,-59.8
481,17.41,121.44
482,-35.71,150.18
483,-24.7,-47.56
484,-34.31,-57.35
485,8.48,13.24
486,1.24,111.46
487,54.78,-127.17
488,-14.9,50.28
489,41.28,-70.1
490,53.41,109.03
491,26.69,67.61
492,29.11,58.36
493,46.81,15.34
494,-14.27,50.17
495,-2.42,115.25
496,-41.29,174.78
497,47.78,44.52
498,26.18,127.67
499,49.22,143.1
500,27.8,114.93
501,29.14,21.3
502,-21.2,24.86
503,65.8,87.96
504,19.57,74.2
505,45.76,106.27
506,34.88,-76.9
507,63.75,-68.52
508,-24.87,152.35
509,35.74,139.53
510,50.13,-97.33
511,59.79,5.78
512,17.54,120.52
513,-14.45,-56.8
514,50.78,121.52
515,28.17,94.8
516,31.32,-109.55
517,-17.73,-39.27
518,56.3,10.48
519,48.5,-122.23
520,6.75,11.81
521,10.28,-61.46
522,60.72,-135.06
523,21.35,-158.09
524,23.62,115.49
525,-23.49,-58.8
526,34.7,138.93
527,62.52,65.89
528,-20.41,57.7
529,16.79,80.85
530,68.1,16.37
531,43.26,-79.87
532,-33.25,-58.03
533,1.32,35.2
534,34.88,111.1
535,-12.99,-38.52
536,-21.7,-64.2
537,58.73,50.18
538,46.68,113.28
539,1.0,118.1
540,42.12,118.78
541,-9.47,147.16
542,-17.73,-149.15
543,-18.65,-173.98
544,-38.55,-58.74
545,67.67,12.69
546,9.96,98.62
547,-37.84,145.39
548,-3.75,103.64
549,13.22,-59.52
550,-23.35,47.6
551,62.65,135.58
552,60.06,69.92
553,63.87,11.3
554,12.96,77.22
555,18.69,12.92
556,64.27,100.22
557,-8.43,114.34
558,43.56,6.97
559,67.47,86.57
560,-16.92,145.77
561,2.14,27.99
562,39.36,-9.38
563,66.0,57.56
564,-38.72,-62.27
565,39.17,8.53
566,-31.42,-64.5
567,-31.43,152.91
568,60.82,-115.79
569,21.46,-71.14
570,17.61,99.22
571,-28.77,32.06
572,7.98,49.82
